Symbol,Return (%),totalEsg,GICS Sector
TXT,29.8035783879001,33.61,Industrials
UAL,18.355286210971116,28.61,Industrials
UDR,15.340757049850154,13.92,Real Estate
UHS,66.86768123008459,32.98,Health Care
ULTA,-25.18711857071902,15.61,Consumer Discretionary
UNH,13.797623696100853,15.3,Health Care
UNP,23.369300548671003,23.45,Industrials
UPS,-26.66019856970615,18.57,Industrials
URI,107.80466696262269,16.86,Industrials
USB,5.801971747312535,30.26,Financials
V,33.261003872196405,16.68,Financials
VLO,22.234250756790296,32.56,Energy
VMC,39.244746289064366,29.28,Materials
VRSK,53.84008850682929,17.53,Industrials
VRSN,-8.924328662772506,21.3,Information Technology
VRTX,73.37599947419541,22.72,Health Care
VTR,36.89663229571379,12.86,Real Estate
VZ,4.1375869681114485,18.73,Communication Services
WAB,69.97795077495785,23.33,Industrials
WAT,0.21991659876691638,14.62,Health Care
WBA,-75.12772158760751,16.25,Consumer Staples
WDC,108.81883685616964,11.43,Information Technology
WEC,-1.2000901007475444,27.46,Utilities
WELL,80.25392950872167,13.23,Real Estate
WFC,39.913854845067064,36.24,Financials
WM,35.03151941314831,16.65,Industrials
WMB,42.3639137961516,21.82,Energy
WMT,61.3440112974539,25.26,Consumer Staples
WRB,23.3811016696738,21.83,Financials
WTW,19.141036820993822,18.66,Financials
WY,-1.1989657547488293,16.68,Real Estate
WYNN,-10.197410693486203,25.7,Consumer Discretionary
XEL,-12.615955745809524,26.45,Utilities
XOM,10.731386795539008,41.6,Energy
XYL,24.169371728740437,18.13,Industrials
YUM,6.269690565432725,20.1,Consumer Discretionary
ZBH,-9.286612042886693,26.02,Health Care
ZTS,24.95062844179977,18.77,Health Care
